2025-11-30 08:08:35,985 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-11-30 08:08:36,025 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-11-30 08:08:36,026 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-11-30 08:08:36,026 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-11-30 08:08:36,029 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-11-30 08:08:36,030 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-11-30 08:08:36,030 INFO  SwAddin.cs: 201 - Setting up command manager
2025-11-30 08:08:36,031 INFO  SwAddin.cs: 204 - Adding command manager
2025-11-30 08:08:36,032 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-11-30 08:08:36,033 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-11-30 08:08:36,033 INFO  SwAddin.cs: 210 - Adding event handlers
2025-11-30 08:08:36,036 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-11-30 08:20:02,344 INFO  SwAddin.cs: 351 - Part export called
2025-11-30 08:20:02,426 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 不规则图形.SLDPRT
2025-11-30 08:20:02,435 INFO  ExportHelperExtension.cs: 1136 - Found 31 in 不规则图形.SLDPRT
2025-11-30 08:20:02,435 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 不规则图形.SLDPRT
2025-11-30 08:20:02,435 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 不规则图形.SLDPRT
2025-11-30 08:20:02,436 INFO  ExportHelperExtension.cs: 1136 - Found 31 in 不规则图形.SLDPRT
2025-11-30 08:20:02,436 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 不规则图形.SLDPRT
2025-11-30 08:20:02,436 INFO  SwAddin.cs: 367 - Showing part
2025-11-30 08:25:12,463 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体-不规则末端.SLDASM
2025-11-30 08:25:14,425 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-30 08:25:14,496 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-30 08:25:14,502 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体-不规则末端.SLDASM
2025-11-30 08:25:14,504 INFO  ExportHelperExtension.cs: 1136 - Found 24 in 装配体-不规则末端.SLDASM
2025-11-30 08:25:14,504 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体-不规则末端.SLDASM
